id;name;type;parent_category;color;icon;threshold
1;Housing;expense;;blue;🏠;1000.0
2;Transportation;expense;;green;🚗;500.0
3;Food;expense;;orange;🍔;300.0
4;Utilities;expense;;purple;💡;200.0;
5;Entertainment;expense;;red;🎉;150.0;
6;Healthcare;expense;;pink;💊;200.0;
7;Insurance;expense;;cyan;🛡️;300.0;
8;Personal;expense;;magenta;👤;100.0;
9;Debt;expense;;brown;💳;400.0;
10;Savings;expense;;teal;💰;500.0;
11;Gifts;expense;;yellow;🎁;100.0;
12;Education;expense;;gray;📚;400.0;
13;Income;income;;black;💼;;
14;Subscriptions;expense;;indigo;📱;50.0;
15;Others;expense;;lightgray;❓;;
