id;category_id;category_name;subcategory_name
1;1;Housing;Rent
2;2;Transportation;Public Transport
3;2;Transportation;Uber
4;2;Transportation;Car payment
5;2;Transportation;Gas
6;2;Transportation;Tires
7;2;Transportation;Maintenance and oil changes
8;2;Transportation;Parking fees
9;2;Transportation;Repairs
10;3;Food;Groceries
11;3;Food;Restaurants
12;5;Entertainment;Movies
13;5;Entertainment;Concerts
14;5;Entertainment;Games
15;5;Entertainment;Bar
16;4;Utilities;Electricity and Gas
17;4;Utilities;Water
18;4;Utilities;Internet
19;4;Utilities;Phone
20;6;Healthcare;Dental Care
21;6;Healthcare;Urgent Care
22;6;Healthcare;Medications
23;7;Insurance;Health insurance
24;7;Insurance;House
25;8;Personal;Gym membership
26;8;Personal;Haircut
272;Education;Tuition
282;Education;Books
29;9;Debt;Credit cards
300;Savings;House Repairs
311;Gifts;Birthday
321;Gifts;Anniversary
331;Gifts;Wedding
341;Gifts;Christmas
353;Income;Monthly Salary
364;Subscriptions;Spotify
374;Subscriptions;Apple
